canonical_basket,capital,final_close_reason,net_pl_yen,hedged,prehedge_snapshot_count,norm_loss_slope_1min,norm_loss_slope_3min,norm_loss_slope_5min,norm_distance_shrink_rate_3min,rapid_drop_observation_trigger,trigger_threshold_norm3_per_min,actual_class,data_source
GOLD#2026.06.01T11:00:23#24,50000,basket close,403.0,false,3,UNDERIVABLE_SPARSE,UNDERIVABLE_SPARSE,UNDERIVABLE_SPARSE,UNDERIVABLE_SPARSE,false,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.01T11:57:06#26,50000,basket close,403.0,false,81,0.0489,0.0030,0.0030,0.0030,false,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.01T12:36:59#28,50000,basket close,408.0,false,304,0.2979,0.1401,0.0756,0.1401,true,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.01T19:30:02#30,50000,hard stop emergency close,-4567.0,true,97,0.2903,0.1316,0.0730,0.1316,true,0.05,HARDSTOP,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.08T02:00:59#34,50000,hard stop emergency close,-4120.0,true,59,0.2571,0.0867,0.0735,0.0867,true,0.05,HARDSTOP,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.15T03:51:00#38,50000,basket close,304.0,false,22,0.0012,-0.0007,-0.0045,-0.0007,false,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.15T06:07:26#40,50000,basket close,303.0,false,51,0.0006,0.0002,0.0001,0.0002,false,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.15T06:26:26#42,50000,basket close,301.0,false,6,0.0007,0.0000,-0.0050,0.0000,false,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.15T06:40:57#44,50000,basket close,306.0,false,17,0.0000,0.0449,0.0449,0.0449,false,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.15T07:31:59#46,50000,basket close,306.0,false,2,UNDERIVABLE_SPARSE,UNDERIVABLE_SPARSE,UNDERIVABLE_SPARSE,UNDERIVABLE_SPARSE,false,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.15T07:54:09#48,50000,basket close,301.0,false,6,0.0034,0.0003,-0.0060,0.0003,false,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.15T08:32:53#50,50000,hard stop emergency close,-3917.0,true,74,0.2504,0.1252,0.1066,0.1252,true,0.05,HARDSTOP,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.22T03:00:53#54,50000,basket close,305.0,false,9,UNDERIVABLE_SPARSE,-0.0147,UNDERIVABLE_SPARSE,-0.0147,false,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.22T03:06:52#56,50000,basket close,302.0,false,3,UNDERIVABLE_SPARSE,UNDERIVABLE_SPARSE,UNDERIVABLE_SPARSE,UNDERIVABLE_SPARSE,false,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.22T03:11:03#58,50000,hard stop emergency close,-3834.0,true,23,0.2714,0.1843,0.1843,0.1843,true,0.05,HARDSTOP,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.26T01:28:52#62,50000,basket close,306.0,false,60,0.0051,0.1056,0.0612,0.1056,true,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.26T01:57:00#64,50000,basket close,306.0,false,26,0.0000,0.0144,0.0144,0.0144,false,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.26T02:14:51#66,50000,basket close,301.0,false,33,0.0933,0.0228,0.0122,0.0228,false,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.26T02:43:58#68,50000,basket close,304.0,false,4,0.0011,-0.0105,UNDERIVABLE_SPARSE,-0.0105,false,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.26T03:15:03#70,50000,basket close,301.0,false,58,0.0067,0.0018,0.0005,0.0018,false,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.26T03:53:26#72,50000,basket close,303.0,false,3,-0.0262,UNDERIVABLE_SPARSE,UNDERIVABLE_SPARSE,UNDERIVABLE_SPARSE,false,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.26T03:58:05#74,50000,basket close,303.0,false,18,0.3057,0.2464,0.1319,0.2464,true,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.26T04:09:21#76,50000,basket close,303.0,false,49,0.0794,0.1300,0.0714,0.1300,true,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.26T04:46:30#78,50000,basket close,303.0,false,4,-0.0264,UNDERIVABLE_SPARSE,UNDERIVABLE_SPARSE,UNDERIVABLE_SPARSE,false,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.26T04:56:42#80,50000,basket close,303.0,false,73,0.0246,0.0547,0.0328,0.0547,true,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.26T11:03:03#82,50000,basket close,301.0,false,4,0.0015,0.0000,-0.0071,0.0000,false,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.26T11:52:21#84,50000,basket close,305.0,false,4,UNDERIVABLE_SPARSE,-0.0018,UNDERIVABLE_SPARSE,-0.0018,false,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.26T13:20:03#86,50000,basket close,301.0,false,5,UNDERIVABLE_SPARSE,UNDERIVABLE_SPARSE,UNDERIVABLE_SPARSE,UNDERIVABLE_SPARSE,false,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.26T13:44:25#88,50000,basket close,301.0,false,4,-0.0259,UNDERIVABLE_SPARSE,UNDERIVABLE_SPARSE,UNDERIVABLE_SPARSE,false,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.26T16:31:28#90,50000,basket close,302.0,false,3,UNDERIVABLE_SPARSE,UNDERIVABLE_SPARSE,UNDERIVABLE_SPARSE,UNDERIVABLE_SPARSE,false,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.26T16:36:03#92,50000,basket close,304.0,false,7,0.0000,UNDERIVABLE_SPARSE,-0.0046,UNDERIVABLE_SPARSE,false,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.29T06:33:52#94,50000,basket close,303.0,false,36,-0.0068,UNDERIVABLE_SPARSE,0.0000,UNDERIVABLE_SPARSE,false,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.29T06:51:25#96,50000,basket close,301.0,false,3,UNDERIVABLE_SPARSE,UNDERIVABLE_SPARSE,UNDERIVABLE_SPARSE,UNDERIVABLE_SPARSE,false,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.29T11:11:37#98,50000,basket close,303.0,false,33,0.0061,0.0011,0.0121,0.0011,false,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.29T13:53:00#100,50000,basket close,303.0,false,38,0.0011,0.0002,0.0003,0.0002,false,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.29T14:31:52#102,50000,basket close,303.0,false,2,UNDERIVABLE_SPARSE,UNDERIVABLE_SPARSE,UNDERIVABLE_SPARSE,UNDERIVABLE_SPARSE,false,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.29T14:35:32#104,50000,DEINIT_ACTIVE_BASKET,-2966.0,true,76,0.0968,0.0848,0.0623,0.0848,true,0.05,DEINIT_OPEN,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.01T04:45:24#2,100000,basket close,410.0,false,5,-0.0086,UNDERIVABLE_SPARSE,UNDERIVABLE_SPARSE,UNDERIVABLE_SPARSE,false,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.01T05:08:09#4,100000,basket close,400.0,false,7,0.0003,UNDERIVABLE_SPARSE,UNDERIVABLE_SPARSE,UNDERIVABLE_SPARSE,false,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.01T05:13:59#6,100000,basket close,410.0,false,16,0.0067,0.0170,0.0095,0.0170,false,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.01T05:38:00#8,100000,basket close,405.0,false,2,UNDERIVABLE_SPARSE,UNDERIVABLE_SPARSE,UNDERIVABLE_SPARSE,UNDERIVABLE_SPARSE,false,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.01T06:31:26#10,100000,basket close,405.0,false,9,0.0000,0.0000,-0.0028,0.0000,false,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.01T07:03:00#12,100000,basket close,400.0,false,5,0.0000,-0.0048,UNDERIVABLE_SPARSE,-0.0048,false,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.01T07:19:19#14,100000,basket close,403.0,false,25,0.0008,0.0002,0.0001,0.0002,false,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.01T07:56:19#16,100000,basket close,400.0,false,112,0.0332,0.0134,0.0086,0.0134,false,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.01T09:29:52#18,100000,basket close,400.0,false,2,-0.0190,UNDERIVABLE_SPARSE,UNDERIVABLE_SPARSE,UNDERIVABLE_SPARSE,false,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.01T10:09:25#20,100000,basket close,402.0,false,28,0.0024,0.0005,0.0004,0.0005,false,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.01T10:33:20#22,100000,basket close,400.0,false,10,0.0006,UNDERIVABLE_SPARSE,-0.0024,UNDERIVABLE_SPARSE,false,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.01T11:00:23#24,100000,basket close,403.0,false,3,UNDERIVABLE_SPARSE,UNDERIVABLE_SPARSE,UNDERIVABLE_SPARSE,UNDERIVABLE_SPARSE,false,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.01T11:57:06#26,100000,basket close,403.0,false,81,0.0256,0.0016,0.0016,0.0016,false,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.01T12:36:59#28,100000,basket close,408.0,false,264,0.1564,0.0645,0.0345,0.0645,true,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.01T19:30:02#30,100000,basket close,400.0,false,464,0.0750,0.0550,0.0398,0.0550,true,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.02T05:51:59#32,100000,hard stop emergency close,-8496.0,true,48,0.0108,0.0416,0.0112,0.0416,false,0.05,HARDSTOP,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.16T03:37:01#36,100000,basket close,400.0,false,126,0.0605,0.0475,0.0354,0.0475,false,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.16T05:31:04#38,100000,basket close,400.0,false,14,0.0695,0.0076,0.0155,0.0076,false,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.16T05:49:40#40,100000,hard stop emergency close,-7957.0,true,396,0.0473,0.0333,0.0297,0.0333,false,0.05,HARDSTOP,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.26T01:28:52#44,100000,basket close,404.0,false,54,0.0009,0.0483,0.0279,0.0483,false,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.26T01:57:00#46,100000,basket close,400.0,false,34,0.0000,0.0067,0.0067,0.0067,false,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.26T02:14:51#48,100000,basket close,400.0,false,111,0.0432,0.0106,0.0057,0.0106,false,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.26T03:15:03#50,100000,basket close,405.0,false,58,0.0031,0.0009,0.0002,0.0009,false,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.26T03:53:26#52,100000,basket close,400.0,false,3,-0.0123,UNDERIVABLE_SPARSE,UNDERIVABLE_SPARSE,UNDERIVABLE_SPARSE,false,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.26T03:58:05#54,100000,basket close,403.0,false,17,0.1438,0.0562,0.0487,0.0562,true,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.26T04:09:21#56,100000,basket close,400.0,false,69,0.0374,0.0613,0.0337,0.0613,true,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.26T04:56:42#58,100000,basket close,401.0,false,73,0.0117,0.0260,0.0156,0.0260,false,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.26T11:03:03#60,100000,basket close,404.0,false,5,0.0007,0.0000,0.0000,0.0000,false,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.26T11:52:21#62,100000,basket close,402.0,false,4,UNDERIVABLE_SPARSE,-0.0009,UNDERIVABLE_SPARSE,-0.0009,false,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.26T13:20:03#64,100000,basket close,402.0,false,5,UNDERIVABLE_SPARSE,UNDERIVABLE_SPARSE,UNDERIVABLE_SPARSE,UNDERIVABLE_SPARSE,false,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.26T13:44:25#66,100000,basket close,410.0,false,4,-0.0124,UNDERIVABLE_SPARSE,UNDERIVABLE_SPARSE,UNDERIVABLE_SPARSE,false,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.26T16:31:28#68,100000,basket close,401.0,false,9,-0.0106,UNDERIVABLE_SPARSE,UNDERIVABLE_SPARSE,UNDERIVABLE_SPARSE,false,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.26T16:36:03#70,100000,basket close,404.0,false,7,0.0000,UNDERIVABLE_SPARSE,-0.0022,UNDERIVABLE_SPARSE,false,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.29T06:33:52#72,100000,basket close,400.0,false,36,-0.0033,UNDERIVABLE_SPARSE,0.0000,UNDERIVABLE_SPARSE,false,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.29T06:51:25#74,100000,basket close,403.0,false,3,UNDERIVABLE_SPARSE,UNDERIVABLE_SPARSE,UNDERIVABLE_SPARSE,UNDERIVABLE_SPARSE,false,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.29T11:11:37#76,100000,DEINIT_ACTIVE_BASKET,-5900.0,true,121,0.0410,0.0326,0.0249,0.0326,false,0.05,DEINIT_OPEN,PROSPECTIVE_JUNE2026_DERIVED
