observation_id,basket_uid,reason_code,gate_m15_reverse_confirmed,gate_closed_bar_signal,gate_hardstop_now_false,gate_close_priority_ok_true,gate_close_priority_blocked_false,gate_pending_close_false,gate_market_state_valid,gate_hte_eligible_false_and_known,gate_recovery_eligible_false_and_known,gate_basketclose_eligible_false_and_known,gate_event_state_not_unknown_if_used,gate_direction_known,gate_first_eligible_signal,commission_treatment,all_gates_pass,future_executable_candidate,blocking_gates,data_source
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.04.20T09:31:38#46|M5_REVERSE_CROSS_WARNING,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.04.20T09:31:38#46,M5_REVERSE_WARNING,false,true,true,true,true,true,MARKET_CLOSED_RETRY_INACTIVE,true,true,true,true,true,true,NA_NOT_ZERO_FILLED,false,false,gate_m15_reverse_confirmed;gate_market_state_valid,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.04.20T09:56:04#48|M5_REVERSE_CROSS_WARNING,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.04.20T09:56:04#48,M5_REVERSE_WARNING,false,true,true,true,true,true,MARKET_CLOSED_RETRY_INACTIVE,true,true,true,true,true,true,NA_NOT_ZERO_FILLED,false,false,gate_m15_reverse_confirmed;gate_market_state_valid,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.04.20T09:56:04#48|M15_REVERSE_CROSS,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.04.20T09:56:04#48,M15_REVERSE_CONFIRMED,true,true,true,true,true,true,MARKET_CLOSED_RETRY_INACTIVE,true,true,true,true,true,true,NA_NOT_ZERO_FILLED,UNKNOWN,UNKNOWN,gate_market_state_valid,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.04.20T09:56:04#48|M15_REVERSE_CROSS_WITH_M30_ADVERSE_REGIME,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.04.20T09:56:04#48,M15_REVERSE_WITH_M30_ADVERSE,true,true,true,true,true,true,MARKET_CLOSED_RETRY_INACTIVE,true,true,true,true,true,true,NA_NOT_ZERO_FILLED,UNKNOWN,UNKNOWN,gate_market_state_valid,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.04.20T09:56:04#48|M15_REVERSE_CROSS_THEN_M5_RETEST_FAILURE,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.04.20T09:56:04#48,M15_REVERSE_WITH_M5_PROXY,true,true,true,true,true,true,MARKET_CLOSED_RETRY_INACTIVE,true,true,true,true,true,true,NA_NOT_ZERO_FILLED,UNKNOWN,UNKNOWN,gate_market_state_valid,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.04.20T09:56:04#48|M30_REGIME_PLUS_M15_CROSS_PLUS_M5_PULLBACK,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.04.20T09:56:04#48,M15_REVERSE_M30_M5_COMBO,true,true,true,true,true,true,MARKET_CLOSED_RETRY_INACTIVE,true,true,true,true,true,true,NA_NOT_ZERO_FILLED,UNKNOWN,UNKNOWN,gate_market_state_valid,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.04.20T17:36:02#52|M5_REVERSE_CROSS_WARNING,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.04.20T17:36:02#52,M5_REVERSE_WARNING,false,true,true,true,true,true,MARKET_CLOSED_RETRY_INACTIVE,true,true,true,true,true,true,NA_NOT_ZERO_FILLED,false,false,gate_m15_reverse_confirmed;gate_market_state_valid,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.04.20T17:36:02#52|M15_REVERSE_CROSS,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.04.20T17:36:02#52,M15_REVERSE_CONFIRMED,true,true,true,true,true,true,MARKET_CLOSED_RETRY_INACTIVE,true,true,true,true,true,true,NA_NOT_ZERO_FILLED,UNKNOWN,UNKNOWN,gate_market_state_valid,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.04.21T02:15:56#54|M5_REVERSE_CROSS_WARNING,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.04.21T02:15:56#54,M5_REVERSE_WARNING,false,true,true,true,true,true,MARKET_CLOSED_RETRY_INACTIVE,true,true,true,true,true,true,NA_NOT_ZERO_FILLED,false,false,gate_m15_reverse_confirmed;gate_market_state_valid,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.04.21T03:27:20#56|M5_REVERSE_CROSS_WARNING,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.04.21T03:27:20#56,M5_REVERSE_WARNING,false,true,true,true,true,true,MARKET_CLOSED_RETRY_INACTIVE,true,true,true,true,true,true,NA_NOT_ZERO_FILLED,false,false,gate_m15_reverse_confirmed;gate_market_state_valid,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.04.21T03:59:02#58|M5_REVERSE_CROSS_WARNING,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.04.21T03:59:02#58,M5_REVERSE_WARNING,false,true,true,true,true,true,MARKET_CLOSED_RETRY_INACTIVE,true,true,true,true,true,true,NA_NOT_ZERO_FILLED,false,false,gate_m15_reverse_confirmed;gate_market_state_valid,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.04.21T03:59:02#58|M15_REVERSE_CROSS,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.04.21T03:59:02#58,M15_REVERSE_CONFIRMED,true,true,true,true,true,true,MARKET_CLOSED_RETRY_INACTIVE,true,true,true,true,true,true,NA_NOT_ZERO_FILLED,UNKNOWN,UNKNOWN,gate_market_state_valid,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.04.21T03:59:02#58|M15_REVERSE_CROSS_WITH_M30_ADVERSE_REGIME,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.04.21T03:59:02#58,M15_REVERSE_WITH_M30_ADVERSE,true,true,true,true,true,true,MARKET_CLOSED_RETRY_INACTIVE,true,true,true,true,true,true,NA_NOT_ZERO_FILLED,UNKNOWN,UNKNOWN,gate_market_state_valid,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.04.21T03:59:02#58|M15_REVERSE_CROSS_THEN_M5_RETEST_FAILURE,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.04.21T03:59:02#58,M15_REVERSE_WITH_M5_PROXY,true,true,true,true,true,true,MARKET_CLOSED_RETRY_INACTIVE,true,true,true,true,true,true,NA_NOT_ZERO_FILLED,UNKNOWN,UNKNOWN,gate_market_state_valid,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.04.21T03:59:02#58|M30_REGIME_PLUS_M15_CROSS_PLUS_M5_PULLBACK,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.04.21T03:59:02#58,M15_REVERSE_M30_M5_COMBO,true,true,true,true,true,true,MARKET_CLOSED_RETRY_INACTIVE,true,true,true,true,true,true,NA_NOT_ZERO_FILLED,UNKNOWN,UNKNOWN,gate_market_state_valid,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.01T02:46:04#62|M5_REVERSE_CROSS_WARNING,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.01T02:46:04#62,M5_REVERSE_WARNING,false,true,true,true,true,true,MARKET_CLOSED_RETRY_INACTIVE,true,true,true,true,true,true,NA_NOT_ZERO_FILLED,false,false,gate_m15_reverse_confirmed;gate_market_state_valid,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.01T02:46:04#62|M15_REVERSE_CROSS,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.01T02:46:04#62,M15_REVERSE_CONFIRMED,true,true,true,true,true,true,MARKET_CLOSED_RETRY_INACTIVE,true,true,true,true,true,true,NA_NOT_ZERO_FILLED,UNKNOWN,UNKNOWN,gate_market_state_valid,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.01T05:43:39#64|M5_REVERSE_CROSS_WARNING,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.01T05:43:39#64,M5_REVERSE_WARNING,false,true,true,true,true,true,MARKET_CLOSED_RETRY_INACTIVE,true,true,true,true,true,true,NA_NOT_ZERO_FILLED,false,false,gate_m15_reverse_confirmed;gate_market_state_valid,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.01T13:08:59#68|M5_REVERSE_CROSS_WARNING,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.01T13:08:59#68,M5_REVERSE_WARNING,false,true,true,true,true,true,MARKET_CLOSED_RETRY_INACTIVE,true,true,true,true,true,true,NA_NOT_ZERO_FILLED,false,false,gate_m15_reverse_confirmed;gate_market_state_valid,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.04T04:47:25#70|M5_REVERSE_CROSS_WARNING,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.04T04:47:25#70,M5_REVERSE_WARNING,false,true,true,true,true,true,MARKET_CLOSED_RETRY_INACTIVE,true,true,true,true,true,true,NA_NOT_ZERO_FILLED,false,false,gate_m15_reverse_confirmed;gate_market_state_valid,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.04T05:43:25#72|M5_REVERSE_CROSS_WARNING,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.04T05:43:25#72,M5_REVERSE_WARNING,false,true,true,true,true,true,MARKET_CLOSED_RETRY_INACTIVE,true,true,true,true,true,true,NA_NOT_ZERO_FILLED,false,false,gate_m15_reverse_confirmed;gate_market_state_valid,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.04T05:43:25#72|M15_REVERSE_CROSS,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.04T05:43:25#72,M15_REVERSE_CONFIRMED,true,true,true,true,true,true,MARKET_CLOSED_RETRY_INACTIVE,true,true,true,true,true,true,NA_NOT_ZERO_FILLED,UNKNOWN,UNKNOWN,gate_market_state_valid,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.04T14:51:29#78|M5_REVERSE_CROSS_WARNING,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.04T14:51:29#78,M5_REVERSE_WARNING,false,true,true,true,true,true,MARKET_CLOSED_RETRY_INACTIVE,true,true,true,true,true,true,NA_NOT_ZERO_FILLED,false,false,gate_m15_reverse_confirmed;gate_market_state_valid,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.04T20:05:52#80|M5_REVERSE_CROSS_WARNING,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.04T20:05:52#80,M5_REVERSE_WARNING,false,true,true,true,true,true,MARKET_CLOSED_RETRY_INACTIVE,true,true,true,true,true,true,NA_NOT_ZERO_FILLED,false,false,gate_m15_reverse_confirmed;gate_market_state_valid,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.05T02:00:00#84|M5_REVERSE_CROSS_WARNING,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.05T02:00:00#84,M5_REVERSE_WARNING,false,true,true,true,true,true,MARKET_CLOSED_RETRY_INACTIVE,true,true,true,true,true,true,NA_NOT_ZERO_FILLED,false,false,gate_m15_reverse_confirmed;gate_market_state_valid,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.05T02:00:00#84|M15_REVERSE_CROSS,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.05T02:00:00#84,M15_REVERSE_CONFIRMED,true,true,true,true,true,true,MARKET_CLOSED_RETRY_INACTIVE,true,true,true,true,true,true,NA_NOT_ZERO_FILLED,UNKNOWN,UNKNOWN,gate_market_state_valid,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.05T02:00:00#84|M15_REVERSE_CROSS_THEN_M5_RETEST_FAILURE,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.05T02:00:00#84,M15_REVERSE_WITH_M5_PROXY,true,true,true,true,true,true,MARKET_CLOSED_RETRY_INACTIVE,true,true,true,true,true,true,NA_NOT_ZERO_FILLED,UNKNOWN,UNKNOWN,gate_market_state_valid,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.05T20:35:26#86|M5_REVERSE_CROSS_WARNING,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.05T20:35:26#86,M5_REVERSE_WARNING,false,true,true,true,true,true,MARKET_CLOSED_RETRY_INACTIVE,true,true,true,true,true,true,NA_NOT_ZERO_FILLED,false,false,gate_m15_reverse_confirmed;gate_market_state_valid,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.05T20:35:26#86|M30_REGIME_MISMATCH_AT_ENTRY,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.05T20:35:26#86,M30_ENTRY_REGIME_MISMATCH,false,true,true,true,true,true,MARKET_CLOSED_RETRY_INACTIVE,true,true,true,true,true,true,NA_NOT_ZERO_FILLED,false,false,gate_m15_reverse_confirmed;gate_market_state_valid,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.05T21:35:00#88|M30_REGIME_MISMATCH_AT_ENTRY,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.05T21:35:00#88,M30_ENTRY_REGIME_MISMATCH,false,true,true,true,true,true,MARKET_CLOSED_RETRY_INACTIVE,true,true,true,true,true,true,NA_NOT_ZERO_FILLED,false,false,gate_m15_reverse_confirmed;gate_market_state_valid,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.06T01:53:19#90|M5_REVERSE_CROSS_WARNING,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.06T01:53:19#90,M5_REVERSE_WARNING,false,true,true,true,true,true,MARKET_CLOSED_RETRY_INACTIVE,true,true,true,true,true,true,NA_NOT_ZERO_FILLED,false,false,gate_m15_reverse_confirmed;gate_market_state_valid,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.06T01:53:19#90|M15_REVERSE_CROSS,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.06T01:53:19#90,M15_REVERSE_CONFIRMED,true,true,true,true,true,true,MARKET_CLOSED_RETRY_INACTIVE,true,true,true,true,true,true,NA_NOT_ZERO_FILLED,UNKNOWN,UNKNOWN,gate_market_state_valid,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.06T01:53:19#90|M15_REVERSE_CROSS_WITH_M30_ADVERSE_REGIME,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.06T01:53:19#90,M15_REVERSE_WITH_M30_ADVERSE,true,true,true,true,true,true,MARKET_CLOSED_RETRY_INACTIVE,true,true,true,true,true,true,NA_NOT_ZERO_FILLED,UNKNOWN,UNKNOWN,gate_market_state_valid,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.06T01:53:19#90|M15_REVERSE_CROSS_THEN_M5_RETEST_FAILURE,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.06T01:53:19#90,M15_REVERSE_WITH_M5_PROXY,true,true,true,true,true,true,MARKET_CLOSED_RETRY_INACTIVE,true,true,true,true,true,true,NA_NOT_ZERO_FILLED,UNKNOWN,UNKNOWN,gate_market_state_valid,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.06T01:53:19#90|M30_REGIME_PLUS_M15_CROSS_PLUS_M5_PULLBACK,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.06T01:53:19#90,M15_REVERSE_M30_M5_COMBO,true,true,true,true,true,true,MARKET_CLOSED_RETRY_INACTIVE,true,true,true,true,true,true,NA_NOT_ZERO_FILLED,UNKNOWN,UNKNOWN,gate_market_state_valid,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.15T01:05:00#94|M5_REVERSE_CROSS_WARNING,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.15T01:05:00#94,M5_REVERSE_WARNING,false,true,true,true,true,true,MARKET_CLOSED_RETRY_INACTIVE,true,true,true,true,true,true,NA_NOT_ZERO_FILLED,false,false,gate_m15_reverse_confirmed;gate_market_state_valid,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.15T07:01:01#102|M5_REVERSE_CROSS_WARNING,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.15T07:01:01#102,M5_REVERSE_WARNING,false,true,true,true,true,true,MARKET_CLOSED_RETRY_INACTIVE,true,true,true,true,true,true,NA_NOT_ZERO_FILLED,false,false,gate_m15_reverse_confirmed;gate_market_state_valid,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.15T19:31:03#116|M5_REVERSE_CROSS_WARNING,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.15T19:31:03#116,M5_REVERSE_WARNING,false,true,true,true,true,true,MARKET_CLOSED_RETRY_INACTIVE,true,true,true,true,true,true,NA_NOT_ZERO_FILLED,false,false,gate_m15_reverse_confirmed;gate_market_state_valid,OFFLINE_OVERLAY_INGESTED_20260702
