basket_uid,run_id,capital_group,direction,entry_time,hedge_time,hardstop_time,hedged_flag,root_cause_class,first_warning_signal_time,first_warning_signal_family,signal_to_hedge_lead_sec,signal_to_hardstop_lead_sec,pl_at_signal_yen,distance_to_hardstop_at_signal_yen,pl_at_hedge_yen,post_hedge_best_recovery_yen,giveback_after_recovery_yen,final_loss_yen,event_window_state,m15_reverse_before_hardstop,m30_regime_at_signal,m5_proxy_state_at_signal,hte_eligible_at_signal,recovery_eligible_at_signal,basketclose_eligible_at_signal,close_priority_ok_at_signal,pending_close_at_signal,no_ma_warning_flag,data_source
TA9_A_FRESH_BASELINE_100000_MAR_MAY_M5_20260301_20260529|GOLD|2026.05.06 01:53:19|SEQ114,TA9_A_FRESH_BASELINE_100000_MAR_MAY_M5_20260301_20260529,100000,SELL,2026.05.06 01:53:19,2026.05.06 02:52:21,2026.05.15 01:05:00,true,LOSS_DOMINANT_BEFORE_HEDGE,2026-05-06 02:49:21,M15_REVERSE_CONFIRMED,180,771339,-5585.00,1849.72,-6028,NOT_IN_SOURCE_AUDIT,NOT_IN_SOURCE_AUDIT,-7572,False,true,BEAR,BULL,false,false,false,true,NONE,false,OFFLINE_OVERLAY_INGESTED_20260702
TA9_A_FRESH_BASELINE_100000_MAR_MAY_M5_20260301_20260529|GOLD|2026.05.18 04:42:03|SEQ119,TA9_A_FRESH_BASELINE_100000_MAR_MAY_M5_20260301_20260529,100000,SELL,2026.05.18 04:42:03,2026.05.18 05:23:41,2026.05.28 01:05:00,true,LOSS_DOMINANT_BEFORE_HEDGE,2026-05-18 06:15:39,M15_REVERSE_CONFIRMED,-3118,845361,-5415.00,1543.88,-5331,NOT_IN_SOURCE_AUDIT,NOT_IN_SOURCE_AUDIT,-7020,False,true,BEAR,BULL,false,false,false,true,NONE,false,OFFLINE_OVERLAY_INGESTED_20260702
TA9_A_FRESH_BASELINE_100000_MAY_M5_20260501_20260529|GOLD|2026.05.06 01:53:19|SEQ15,TA9_A_FRESH_BASELINE_100000_MAY_M5_20260501_20260529,100000,SELL,2026.05.06 01:53:19,2026.05.06 03:04:23,2026.05.21 01:05:00,true,LOSS_DOMINANT_BEFORE_HEDGE,2026-05-06 02:30:28,M15_REVERSE_CONFIRMED,2035,1290872,-4226.00,4227.12,-6421,NOT_IN_SOURCE_AUDIT,NOT_IN_SOURCE_AUDIT,-8777,False,true,BEAR,BULL,false,false,false,true,NONE,false,OFFLINE_OVERLAY_INGESTED_20260702
TA9_A_FRESH_BASELINE_50000_APR_MAY_M5_20260401_20260529|GOLD|2026.04.01 15:08:04|SEQ5,TA9_A_FRESH_BASELINE_50000_APR_MAY_M5_20260401_20260529,50000,BUY,2026.04.01 15:08:04,2026.04.01 15:27:41,2026.04.09 01:05:00,true,LOSS_DOMINANT_BEFORE_HEDGE,2026-04-01 22:05:28,M15_REVERSE_CONFIRMED,-23867,615572,-3184.00,945.84,-3101,NOT_IN_SOURCE_AUDIT,NOT_IN_SOURCE_AUDIT,-4519,False,true,BULL,BEAR,false,false,false,true,NONE,false,OFFLINE_OVERLAY_INGESTED_20260702
TA9_A_FRESH_BASELINE_50000_APR_MAY_M5_20260401_20260529|GOLD|2026.04.10 13:15:00|SEQ8,TA9_A_FRESH_BASELINE_50000_APR_MAY_M5_20260401_20260529,50000,SELL,2026.04.10 13:15:00,NA,2026.04.10 15:18:41,false,NON_HEDGED_HARDSTOP,2026-04-10 13:50:42,M15_REVERSE_CONFIRMED,NA,5279,-1911.00,1905.96,NA,NOT_IN_SOURCE_AUDIT,NOT_IN_SOURCE_AUDIT,-3825,True,true,BEAR,BULL,false,false,false,true,NONE,false,OFFLINE_OVERLAY_INGESTED_20260702
TA9_A_FRESH_BASELINE_50000_APR_MAY_M5_20260401_20260529|GOLD|2026.04.13 03:05:02|SEQ11,TA9_A_FRESH_BASELINE_50000_APR_MAY_M5_20260401_20260529,50000,SELL,2026.04.13 03:05:02,2026.04.13 03:47:36,2026.04.17 23:35:00,true,LOSS_DOMINANT_BEFORE_HEDGE,2026-04-13 05:35:00,M15_REVERSE_CONFIRMED,-6444,410400,-2750.00,809.28,-2670,NOT_IN_SOURCE_AUDIT,NOT_IN_SOURCE_AUDIT,-3589,False,true,BEAR,BULL,false,false,false,true,NONE,false,OFFLINE_OVERLAY_INGESTED_20260702
TA9_A_FRESH_BASELINE_50000_APR_MAY_M5_20260401_20260529|GOLD|2026.04.20 09:56:04|SEQ18,TA9_A_FRESH_BASELINE_50000_APR_MAY_M5_20260401_20260529,50000,SELL,2026.04.20 09:56:04,2026.04.20 10:18:40,2026.04.24 01:05:00,true,LOSS_DOMINANT_BEFORE_HEDGE,2026-04-20 10:30:27,M15_REVERSE_CONFIRMED,-707,311673,-2613.00,804.92,-2564,NOT_IN_SOURCE_AUDIT,NOT_IN_SOURCE_AUDIT,-3458,False,true,BULL,BULL,false,false,false,true,NONE,false,OFFLINE_OVERLAY_INGESTED_20260702
TA9_A_FRESH_BASELINE_50000_APR_MAY_M5_20260401_20260529|GOLD|2026.04.27 20:23:53|SEQ29,TA9_A_FRESH_BASELINE_50000_APR_MAY_M5_20260401_20260529,50000,SELL,2026.04.27 20:23:53,NA,2026.04.28 03:04:41,false,NON_HEDGED_HARDSTOP,2026-04-27 21:49:37,M15_REVERSE_CONFIRMED,NA,18904,-1275.00,2108.60,NA,NOT_IN_SOURCE_AUDIT,NOT_IN_SOURCE_AUDIT,-3387,False,true,BEAR,BULL,false,false,false,true,NONE,false,OFFLINE_OVERLAY_INGESTED_20260702
TA9_A_FRESH_BASELINE_50000_APR_MAY_M5_20260401_20260529|GOLD|2026.05.01 02:46:04|SEQ34,TA9_A_FRESH_BASELINE_50000_APR_MAY_M5_20260401_20260529,50000,BUY,2026.05.01 02:46:04,2026.05.01 04:22:23,2026.05.07 01:05:00,true,LOSS_DOMINANT_BEFORE_HEDGE,2026-05-01 04:18:39,M15_REVERSE_CONFIRMED,224,506781,-2409.00,800.20,-2447,NOT_IN_SOURCE_AUDIT,NOT_IN_SOURCE_AUDIT,-3297,False,true,BULL,BEAR,false,false,false,true,NONE,false,OFFLINE_OVERLAY_INGESTED_20260702
TA9_A_FRESH_BASELINE_50000_APR_MAY_M5_20260401_20260529|GOLD|2026.05.11 13:12:28|SEQ59,TA9_A_FRESH_BASELINE_50000_APR_MAY_M5_20260401_20260529,50000,SELL,2026.05.11 13:12:28,2026.05.11 15:21:37,2026.05.14 01:05:00,true,LOSS_DOMINANT_BEFORE_HEDGE,2026-05-11 15:00:40,M15_REVERSE_CONFIRMED,1257,209060,-1758.00,1767.52,-3001,NOT_IN_SOURCE_AUDIT,NOT_IN_SOURCE_AUDIT,-3755,False,true,BEAR,BULL,false,false,false,true,NONE,false,OFFLINE_OVERLAY_INGESTED_20260702
TA9_A_FRESH_BASELINE_50000_APR_MAY_M5_20260401_20260529|GOLD|2026.05.15 19:31:03|SEQ71,TA9_A_FRESH_BASELINE_50000_APR_MAY_M5_20260401_20260529,50000,SELL,2026.05.15 19:31:03,2026.05.15 20:10:42,2026.05.21 01:05:00,true,LOSS_DOMINANT_BEFORE_HEDGE,2026-05-15 20:20:00,M15_REVERSE_CONFIRMED,-558,449100,-2705.00,786.44,-2623,NOT_IN_SOURCE_AUDIT,NOT_IN_SOURCE_AUDIT,-3505,False,true,BEAR,BULL,false,false,false,true,NONE,false,OFFLINE_OVERLAY_INGESTED_20260702
TA9_A_FRESH_BASELINE_50000_APR_MAY_M5_20260401_20260529|GOLD|2026.05.22 01:07:59|SEQ72,TA9_A_FRESH_BASELINE_50000_APR_MAY_M5_20260401_20260529,50000,BUY,2026.05.22 01:07:59,2026.05.22 04:02:42,2026.05.28 01:05:00,true,LOSS_DOMINANT_BEFORE_HEDGE,2026-05-22 02:00:00,M15_REVERSE_CONFIRMED,7362,515100,-21.00,3190.04,-2414,NOT_IN_SOURCE_AUDIT,NOT_IN_SOURCE_AUDIT,-3303,False,true,BULL,BULL,false,false,false,true,NONE,false,OFFLINE_OVERLAY_INGESTED_20260702
TA9_A_FRESH_BASELINE_50000_MAR_MAY_M5_20260301_20260529|GOLD|2026.03.02 02:52:01|SEQ1,TA9_A_FRESH_BASELINE_50000_MAR_MAY_M5_20260301_20260529,50000,BUY,2026.03.02 02:52:01,NA,2026.03.02 03:00:28,false,NON_HEDGED_HARDSTOP,NA,NO_M15_WARNING,NA,NA,NA,NA,NA,NOT_IN_SOURCE_AUDIT,NOT_IN_SOURCE_AUDIT,-4005,False,false,NA,NA,NA,NA,NA,NA,NA,true,OFFLINE_OVERLAY_INGESTED_20260702
TA9_A_FRESH_BASELINE_50000_MAR_MAY_M5_20260301_20260529|GOLD|2026.03.03 03:45:23|SEQ4,TA9_A_FRESH_BASELINE_50000_MAR_MAY_M5_20260301_20260529,50000,BUY,2026.03.03 03:45:23,2026.03.03 03:47:44,2026.03.06 23:36:00,true,LOSS_DOMINANT_BEFORE_HEDGE,2026-03-03 08:35:00,M15_REVERSE_CONFIRMED,-17236,313260,-2891.00,837.96,-2816,NOT_IN_SOURCE_AUDIT,NOT_IN_SOURCE_AUDIT,-3738,False,true,BULL,BEAR,false,false,false,true,NONE,false,OFFLINE_OVERLAY_INGESTED_20260702
TA9_A_FRESH_BASELINE_50000_MAR_MAY_M5_20260301_20260529|GOLD|2026.03.09 10:59:32|SEQ5,TA9_A_FRESH_BASELINE_50000_MAR_MAY_M5_20260301_20260529,50000,SELL,2026.03.09 10:59:32,2026.03.09 11:11:38,2026.03.13 01:05:00,true,LOSS_DOMINANT_BEFORE_HEDGE,2026-03-09 11:43:20,M15_REVERSE_CONFIRMED,-1902,307300,-2654.00,775.92,-2579,NOT_IN_SOURCE_AUDIT,NOT_IN_SOURCE_AUDIT,-3463,False,true,BULL,BULL,false,false,false,true,NONE,false,OFFLINE_OVERLAY_INGESTED_20260702
TA9_A_FRESH_BASELINE_50000_MAR_MAY_M5_20260301_20260529|GOLD|2026.03.16 02:00:04|SEQ6,TA9_A_FRESH_BASELINE_50000_MAR_MAY_M5_20260301_20260529,50000,SELL,2026.03.16 02:00:04,2026.03.16 02:01:28,2026.03.20 01:05:00,true,LOSS_DOMINANT_BEFORE_HEDGE,2026-03-16 05:55:00,M15_REVERSE_CONFIRMED,-14012,328200,-2449.00,703.88,-2367,NOT_IN_SOURCE_AUDIT,NOT_IN_SOURCE_AUDIT,-3228,False,true,BEAR,BULL,false,false,false,true,NONE,false,OFFLINE_OVERLAY_INGESTED_20260702
TA9_A_FRESH_BASELINE_50000_MAR_MAY_M5_20260301_20260529|GOLD|2026.03.24 19:03:02|SEQ16,TA9_A_FRESH_BASELINE_50000_MAR_MAY_M5_20260301_20260529,50000,BUY,2026.03.24 19:03:02,NA,2026.03.24 19:05:25,false,NON_HEDGED_HARDSTOP,NA,NO_M15_WARNING,NA,NA,NA,NA,NA,NOT_IN_SOURCE_AUDIT,NOT_IN_SOURCE_AUDIT,-3123,False,false,NA,NA,NA,NA,NA,NA,NA,false,OFFLINE_OVERLAY_INGESTED_20260702
TA9_A_FRESH_BASELINE_50000_MAR_MAY_M5_20260301_20260529|GOLD|2026.03.25 14:16:03|SEQ17,TA9_A_FRESH_BASELINE_50000_MAR_MAY_M5_20260301_20260529,50000,BUY,2026.03.25 14:16:03,2026.03.25 14:20:03,2026.03.27 22:31:00,true,LOSS_DOMINANT_BEFORE_HEDGE,2026-03-25 15:03:14,M15_REVERSE_CONFIRMED,-2591,199666,-2232.00,630.96,-2151,NOT_IN_SOURCE_AUDIT,NOT_IN_SOURCE_AUDIT,-2864,False,true,BEAR,BEAR,false,false,false,true,NONE,false,OFFLINE_OVERLAY_INGESTED_20260702
TA9_A_FRESH_BASELINE_50000_MAR_MAY_M5_20260301_20260529|GOLD|2026.03.31 02:30:56|SEQ28,TA9_A_FRESH_BASELINE_50000_MAR_MAY_M5_20260301_20260529,50000,SELL,2026.03.31 02:30:56,2026.03.31 02:43:38,2026.04.06 01:05:00,true,LOSS_DOMINANT_BEFORE_HEDGE,2026-03-31 02:55:03,M15_REVERSE_CONFIRMED,-685,511797,-2240.00,635.68,-2158,NOT_IN_SOURCE_AUDIT,NOT_IN_SOURCE_AUDIT,-2900,False,true,BEAR,BULL,false,false,false,true,NONE,false,OFFLINE_OVERLAY_INGESTED_20260702
TA9_A_FRESH_BASELINE_50000_MAR_MAY_M5_20260301_20260529|GOLD|2026.04.06 13:06:26|SEQ29,TA9_A_FRESH_BASELINE_50000_MAR_MAY_M5_20260301_20260529,50000,BUY,2026.04.06 13:06:26,2026.04.06 14:45:40,2026.04.09 01:05:00,true,LOSS_DOMINANT_BEFORE_HEDGE,2026-04-06 15:15:00,M15_REVERSE_CONFIRMED,-1760,208200,-2037.00,606.68,-1988,NOT_IN_SOURCE_AUDIT,NOT_IN_SOURCE_AUDIT,-2868,False,true,BULL,BEAR,false,false,false,true,NONE,false,OFFLINE_OVERLAY_INGESTED_20260702
TA9_A_FRESH_BASELINE_50000_MAR_MAY_M5_20260301_20260529|GOLD|2026.04.09 21:02:07|SEQ33,TA9_A_FRESH_BASELINE_50000_MAR_MAY_M5_20260301_20260529,50000,BUY,2026.04.09 21:02:07,2026.04.09 21:04:40,2026.04.13 01:03:00,true,LOSS_DOMINANT_BEFORE_HEDGE,2026-04-09 22:16:30,M15_REVERSE_CONFIRMED,-4310,269190,-1919.00,568.36,-1869,NOT_IN_SOURCE_AUDIT,NOT_IN_SOURCE_AUDIT,-2490,False,true,BULL,BEAR,false,false,false,true,NONE,false,OFFLINE_OVERLAY_INGESTED_20260702
TA9_A_FRESH_BASELINE_50000_MAR_MAY_M5_20260301_20260529|GOLD|2026.04.13 15:43:04|SEQ37,TA9_A_FRESH_BASELINE_50000_MAR_MAY_M5_20260301_20260529,50000,SELL,2026.04.13 15:43:04,2026.04.13 15:53:04,2026.04.16 01:05:00,true,LOSS_DOMINANT_BEFORE_HEDGE,2026-04-13 16:40:28,M15_REVERSE_CONFIRMED,-2844,203072,-1823.00,525.88,-1765,NOT_IN_SOURCE_AUDIT,NOT_IN_SOURCE_AUDIT,-2498,False,true,BEAR,BULL,false,false,false,true,NONE,false,OFFLINE_OVERLAY_INGESTED_20260702
TA9_A_FRESH_BASELINE_50000_MAR_MAY_M5_20260301_20260529|GOLD|2026.04.17 21:39:01|SEQ47,TA9_A_FRESH_BASELINE_50000_MAR_MAY_M5_20260301_20260529,50000,BUY,2026.04.17 21:39:01,NA,2026.04.17 23:03:40,false,NON_HEDGED_HARDSTOP,NA,NO_M15_WARNING,NA,NA,NA,NA,NA,NOT_IN_SOURCE_AUDIT,NOT_IN_SOURCE_AUDIT,-2169,False,false,NA,NA,NA,NA,NA,NA,NA,false,OFFLINE_OVERLAY_INGESTED_20260702
TA9_A_FRESH_BASELINE_50000_MAR_MAY_M5_20260301_20260529|GOLD|2026.04.20 17:36:02|SEQ57,TA9_A_FRESH_BASELINE_50000_MAR_MAY_M5_20260301_20260529,50000,BUY,2026.04.20 17:36:02,NA,2026.04.20 17:51:16,false,NON_HEDGED_HARDSTOP,NA,NO_M15_WARNING,NA,NA,NA,NA,NA,NOT_IN_SOURCE_AUDIT,NOT_IN_SOURCE_AUDIT,-2025,False,false,NA,NA,NA,NA,NA,NA,NA,false,OFFLINE_OVERLAY_INGESTED_20260702
TA9_A_FRESH_BASELINE_50000_MAR_MAY_M5_20260301_20260529|GOLD|2026.04.23 13:57:09|SEQ85,TA9_A_FRESH_BASELINE_50000_MAR_MAY_M5_20260301_20260529,50000,SELL,2026.04.23 13:57:09,NA,2026.04.23 14:45:39,false,NON_HEDGED_HARDSTOP,NA,NO_M15_WARNING,NA,NA,NA,NA,NA,NOT_IN_SOURCE_AUDIT,NOT_IN_SOURCE_AUDIT,-2106,True,false,NA,NA,NA,NA,NA,NA,NA,false,OFFLINE_OVERLAY_INGESTED_20260702
TA9_A_FRESH_BASELINE_50000_MAY_M5_20260501_20260529|GOLD|2026.05.04 14:51:29|SEQ9,TA9_A_FRESH_BASELINE_50000_MAY_M5_20260501_20260529,50000,SELL,2026.05.04 14:51:29,2026.05.04 15:21:31,2026.05.11 01:03:00,true,LOSS_DOMINANT_BEFORE_HEDGE,2026-05-04 17:15:20,M15_REVERSE_CONFIRMED,-6829,546460,-3267.00,992.68,-3197,NOT_IN_SOURCE_AUDIT,NOT_IN_SOURCE_AUDIT,-4425,False,true,BEAR,BEAR,false,false,false,true,NONE,false,OFFLINE_OVERLAY_INGESTED_20260702
TA9_A_FRESH_BASELINE_50000_MAY_M5_20260501_20260529|GOLD|2026.05.18 04:42:03|SEQ52,TA9_A_FRESH_BASELINE_50000_MAY_M5_20260501_20260529,50000,SELL,2026.05.18 04:42:03,2026.05.18 04:51:29,2026.05.27 01:03:00,true,LOSS_DOMINANT_BEFORE_HEDGE,2026-05-18 06:15:39,M15_REVERSE_CONFIRMED,-5050,758841,-4015.00,1216.84,-3930,NOT_IN_SOURCE_AUDIT,NOT_IN_SOURCE_AUDIT,-5235,False,true,BEAR,BULL,false,false,false,true,NONE,false,OFFLINE_OVERLAY_INGESTED_20260702
