window_id,capital,canonical_basket,final_close_reason,net_pl_yen,hedged,actual_class,norm_loss_slope_3min,rapid_drop_trigger
W1,50000,GOLD#2026.06.26T11:52:21#84,basket close,305.0,false,BASKET_CLOSE_OR_OTHER,-0.0018,false
W1,50000,GOLD#2026.06.26T13:20:03#86,basket close,301.0,false,BASKET_CLOSE_OR_OTHER,UNDERIVABLE_SPARSE,false
W1,50000,GOLD#2026.06.26T13:44:25#88,basket close,301.0,false,BASKET_CLOSE_OR_OTHER,UNDERIVABLE_SPARSE,false
W1,50000,GOLD#2026.06.26T16:31:28#90,basket close,302.0,false,BASKET_CLOSE_OR_OTHER,UNDERIVABLE_SPARSE,false
W1,50000,GOLD#2026.06.26T16:36:03#92,basket close,304.0,false,BASKET_CLOSE_OR_OTHER,UNDERIVABLE_SPARSE,false
W1,50000,GOLD#2026.06.29T06:33:52#94,basket close,303.0,false,BASKET_CLOSE_OR_OTHER,UNDERIVABLE_SPARSE,false
W1,50000,GOLD#2026.06.29T06:51:25#96,basket close,301.0,false,BASKET_CLOSE_OR_OTHER,UNDERIVABLE_SPARSE,false
W1,50000,GOLD#2026.06.29T11:11:37#98,basket close,303.0,false,BASKET_CLOSE_OR_OTHER,0.0011,false
W1,50000,GOLD#2026.06.29T13:53:00#100,basket close,303.0,false,BASKET_CLOSE_OR_OTHER,0.0002,false
W1,50000,GOLD#2026.06.29T14:31:52#102,basket close,303.0,false,BASKET_CLOSE_OR_OTHER,UNDERIVABLE_SPARSE,false
W1,50000,GOLD#2026.06.29T14:35:32#104,DEINIT_ACTIVE_BASKET,-2966.0,true,DEINIT_OPEN,0.0848,true
W1,100000,GOLD#2026.06.01T04:45:24#2,basket close,410.0,false,BASKET_CLOSE_OR_OTHER,UNDERIVABLE_SPARSE,false
W1,100000,GOLD#2026.06.01T05:08:09#4,basket close,400.0,false,BASKET_CLOSE_OR_OTHER,UNDERIVABLE_SPARSE,false
W1,100000,GOLD#2026.06.01T05:13:59#6,basket close,410.0,false,BASKET_CLOSE_OR_OTHER,0.0170,false
W1,100000,GOLD#2026.06.01T05:38:00#8,basket close,405.0,false,BASKET_CLOSE_OR_OTHER,UNDERIVABLE_SPARSE,false
W1,100000,GOLD#2026.06.01T06:31:26#10,basket close,405.0,false,BASKET_CLOSE_OR_OTHER,0.0000,false
W1,100000,GOLD#2026.06.01T07:03:00#12,basket close,400.0,false,BASKET_CLOSE_OR_OTHER,-0.0048,false
W1,100000,GOLD#2026.06.01T07:19:19#14,basket close,403.0,false,BASKET_CLOSE_OR_OTHER,0.0002,false
W1,100000,GOLD#2026.06.01T07:56:19#16,basket close,400.0,false,BASKET_CLOSE_OR_OTHER,0.0134,false
W1,100000,GOLD#2026.06.01T09:29:52#18,basket close,400.0,false,BASKET_CLOSE_OR_OTHER,UNDERIVABLE_SPARSE,false
W1,100000,GOLD#2026.06.01T10:09:25#20,basket close,402.0,false,BASKET_CLOSE_OR_OTHER,0.0005,false
W1,100000,GOLD#2026.06.01T10:33:20#22,basket close,400.0,false,BASKET_CLOSE_OR_OTHER,UNDERIVABLE_SPARSE,false
W1,100000,GOLD#2026.06.01T11:00:23#24,basket close,403.0,false,BASKET_CLOSE_OR_OTHER,UNDERIVABLE_SPARSE,false
W1,100000,GOLD#2026.06.01T11:57:06#26,basket close,403.0,false,BASKET_CLOSE_OR_OTHER,0.0016,false
W1,100000,GOLD#2026.06.01T12:36:59#28,basket close,408.0,false,BASKET_CLOSE_OR_OTHER,0.0645,true
W1,100000,GOLD#2026.06.01T19:30:02#30,basket close,400.0,false,BASKET_CLOSE_OR_OTHER,0.0550,true
W1,100000,GOLD#2026.06.02T05:51:59#32,hard stop emergency close,-8496.0,true,HARDSTOP,0.0416,false
W1,100000,GOLD#2026.06.16T03:37:01#36,basket close,400.0,false,BASKET_CLOSE_OR_OTHER,0.0475,false
W1,100000,GOLD#2026.06.16T05:31:04#38,basket close,400.0,false,BASKET_CLOSE_OR_OTHER,0.0076,false
W1,100000,GOLD#2026.06.16T05:49:40#40,hard stop emergency close,-7957.0,true,HARDSTOP,0.0333,false
W1,100000,GOLD#2026.06.26T01:28:52#44,basket close,404.0,false,BASKET_CLOSE_OR_OTHER,0.0483,false
W1,100000,GOLD#2026.06.26T01:57:00#46,basket close,400.0,false,BASKET_CLOSE_OR_OTHER,0.0067,false
W1,100000,GOLD#2026.06.26T02:14:51#48,basket close,400.0,false,BASKET_CLOSE_OR_OTHER,0.0106,false
W1,100000,GOLD#2026.06.26T03:15:03#50,basket close,405.0,false,BASKET_CLOSE_OR_OTHER,0.0009,false
W1,100000,GOLD#2026.06.26T03:53:26#52,basket close,400.0,false,BASKET_CLOSE_OR_OTHER,UNDERIVABLE_SPARSE,false
W1,100000,GOLD#2026.06.26T03:58:05#54,basket close,403.0,false,BASKET_CLOSE_OR_OTHER,0.0562,true
W1,100000,GOLD#2026.06.26T04:09:21#56,basket close,400.0,false,BASKET_CLOSE_OR_OTHER,0.0613,true
W1,100000,GOLD#2026.06.26T04:56:42#58,basket close,401.0,false,BASKET_CLOSE_OR_OTHER,0.0260,false
W1,100000,GOLD#2026.06.26T11:03:03#60,basket close,404.0,false,BASKET_CLOSE_OR_OTHER,0.0000,false
W1,100000,GOLD#2026.06.26T11:52:21#62,basket close,402.0,false,BASKET_CLOSE_OR_OTHER,-0.0009,false
W1,100000,GOLD#2026.06.26T13:20:03#64,basket close,402.0,false,BASKET_CLOSE_OR_OTHER,UNDERIVABLE_SPARSE,false
W1,100000,GOLD#2026.06.26T13:44:25#66,basket close,410.0,false,BASKET_CLOSE_OR_OTHER,UNDERIVABLE_SPARSE,false
W1,100000,GOLD#2026.06.26T16:31:28#68,basket close,401.0,false,BASKET_CLOSE_OR_OTHER,UNDERIVABLE_SPARSE,false
W1,100000,GOLD#2026.06.26T16:36:03#70,basket close,404.0,false,BASKET_CLOSE_OR_OTHER,UNDERIVABLE_SPARSE,false
W1,100000,GOLD#2026.06.29T06:33:52#72,basket close,400.0,false,BASKET_CLOSE_OR_OTHER,UNDERIVABLE_SPARSE,false
W1,100000,GOLD#2026.06.29T06:51:25#74,basket close,403.0,false,BASKET_CLOSE_OR_OTHER,UNDERIVABLE_SPARSE,false
W1,100000,GOLD#2026.06.29T11:11:37#76,DEINIT_ACTIVE_BASKET,-5900.0,true,DEINIT_OPEN,0.0326,false
